case_id,task_name,runs_per_mode,metric,unit,lower_is_better,A1,A2,A3,A2_minus_A1,A3_minus_A2,A3_minus_A1,notes
AGICE Demo Replay,All Tasks (combined),15,solve_rate,ratio,0,0.4000,0.7333,0.8667,0.3333,0.1333,0.4667,
AGICE Demo Replay,All Tasks (combined),15,expected_round_penalty_7,round,1,6.4667,6.0000,5.9333,-0.4667,-0.0667,-0.5333,Unsolved runs use round penalty = 7.
AGICE Demo Replay,All Tasks (combined),15,mean_best_round_solved,round,1,5.6667,5.6364,5.7692,-0.0303,0.1329,0.1026,
AGICE Demo Replay,Adjacent-Peg Tower of Hanoi,3,solve_rate,ratio,0,0.6667,0.6667,1.0000,0.0000,0.3333,0.3333,
AGICE Demo Replay,Adjacent-Peg Tower of Hanoi,3,expected_round_penalty_7,round,1,5.6667,6.0000,5.6667,0.3333,-0.3333,0.0000,Unsolved runs use round penalty = 7.
AGICE Demo Replay,Basic Calculator III,3,solve_rate,ratio,0,0.0000,0.0000,0.3333,0.0000,0.3333,0.3333,
AGICE Demo Replay,Basic Calculator III,3,expected_round_penalty_7,round,1,7.0000,7.0000,6.6667,0.0000,-0.3333,-0.3333,Unsolved runs use round penalty = 7.
AGICE Demo Replay,Radial Point Sort,3,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,Radial Point Sort,3,expected_round_penalty_7,round,1,7.0000,5.0000,5.3333,-2.0000,0.3333,-1.6667,Unsolved runs use round penalty = 7.
AGICE Demo Replay,Task Scheduler,3,solve_rate,ratio,0,0.6667,1.0000,1.0000,0.3333,0.0000,0.3333,
AGICE Demo Replay,Task Scheduler,3,expected_round_penalty_7,round,1,6.3333,6.0000,6.0000,-0.3333,0.0000,-0.3333,Unsolved runs use round penalty = 7.
AGICE Demo Replay,Wildcard Pattern Matching,3,solve_rate,ratio,0,0.6667,1.0000,1.0000,0.3333,0.0000,0.3333,
AGICE Demo Replay,Wildcard Pattern Matching,3,expected_round_penalty_7,round,1,6.3333,6.0000,6.0000,-0.3333,0.0000,-0.3333,Unsolved runs use round penalty = 7.
