round,projection,sample,rho,tau,rotation_applied,u_source,alignment_reference,target_axis,P,sample_plan_base,sample_plan_minus_i,sample_plan_total,candidate_loss,candidate_accepted,candidate_hard_failed,selected_projection,selected_sample,selected_loss,selected_hard_passed
1,base,1,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,4,0.0,True
1,base,2,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,4,0.0,True
1,base,3,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,4,0.0,True
1,base,4,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.0,True,,base,4,0.0,True
2,base,1,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
2,base,2,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
2,base,3,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
2,base,4,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
3,base,1,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,minus_i,2,0.0,True
3,base,2,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,minus_i,2,0.0,True
3,minus_i,1,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,minus_i,2,0.0,True
3,minus_i,2,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.0,True,,minus_i,2,0.0,True
4,base,1,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
4,base,2,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
4,base,3,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
4,base,4,0.0,0.15,False,diagnostic_proxy,raw_v_t,wrong_answer,base,4,0,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
5,base,1,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
5,base,2,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
5,minus_i,1,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
5,minus_i,2,-1.0,0.15,True,diagnostic_proxy,raw_v_t,wrong_answer,"base,minus_i",2,2,4,0.8181818181818182,False,V_tests,base,1,0.8181818181818182,False
